Run ID,Ticker,Run,MSE,RMSE,MAE,MAPE,DirAcc (%)
Run2_LLTC_LSTM_ver04.2,LLTC,2,12.236416082328166,3.4980589020667114,2.834595595756249,5.4523836697492385,47.97687861271676
Run2_LLTC_LSTM_ver04.2,LLTC,3,8.919010886054464,2.986471310100679,2.2948637369947917,4.341627108407712,46.53179190751445
Run2_LRCX_LSTM_ver04.2,LRCX,1,4.400496551625287,2.097736053850743,1.6252232139372698,1.9115959266964935,53.75722543352601
Run2_LRCX_LSTM_ver04.2,LRCX,2,3.2479379203681202,1.8022036289964907,1.3505738549645658,1.6573210493095525,53.46820809248555
Run2_LRCX_LSTM_ver04.2,LRCX,3,3.899156480238546,1.9746281878466503,1.487469862194105,1.7739338386950687,55.49132947976878
Run2_MA_LSTM_ver04.2,MA,1,7.661509744061169,2.7679432335330088,2.4447510046282557,2.5191646781050787,41.90751445086705
Run2_MA_LSTM_ver04.2,MA,2,2.2194201173622554,1.4897718339941373,1.1192710094561116,1.1842078926678246,41.32947976878613
Run2_MA_LSTM_ver04.2,MA,3,9.230203785105035,3.038125044349728,2.7049031377738846,2.777578312699816,42.48554913294797
Run2_MCHP_LSTM_ver04.2,MCHP,1,3.4426386979557013,1.8554349080352297,1.3936250752716572,2.511638293694387,49.421965317919074
Run2_MCHP_LSTM_ver04.2,MCHP,2,11.487638210458648,3.38934185505957,2.4043809834749603,4.220827637187384,49.71098265895954
Run2_MCHP_LSTM_ver04.2,MCHP,3,4.1778826580126855,2.0439869515270113,1.5090619098047826,2.708772346545536,50.0
Run2_MSFT_LSTM_ver04.2,MSFT,1,1.0068932468340037,1.0034407041943254,0.7395399041215738,1.3810350910353852,46.82080924855491
Run2_MSFT_LSTM_ver04.2,MSFT,2,0.922474054890856,0.9604551290356338,0.6916682719419531,1.3089977260350099,46.82080924855491
Run2_MSFT_LSTM_ver04.2,MSFT,3,0.8684715486742022,0.9319182092191365,0.6576938445306869,1.25006054225238,46.53179190751445
Run2_MU_LSTM_ver04.2,MU,1,2.781148681215905,1.6676776310833892,1.558791000663668,10.802469249080616,54.91329479768786
Run2_MU_LSTM_ver04.2,MU,2,0.34289817866600597,0.5855750837134431,0.4399172343009125,3.0635168803680486,54.33526011560693
Run2_MU_LSTM_ver04.2,MU,3,0.3853994760881407,0.6208055058455432,0.46871573169780545,3.2792401905105057,54.91329479768786
Run2_NFLX_LSTM_ver04.2,NFLX,1,322.31022826939056,17.953000536662124,17.04363932976699,16.04791620636513,50.86705202312138
Run2_NFLX_LSTM_ver04.2,NFLX,2,164.66766348223877,12.832289876800585,11.88948103523616,11.10637243061119,49.13294797687861
Run2_NFLX_LSTM_ver04.2,NFLX,3,193.62906419139446,13.915066086490372,12.886651983604047,12.013310890635188,48.554913294797686
Run2_NTAP_LSTM_ver04.2,NTAP,1,2.3318143240108524,1.5270279381893614,1.3569257234335044,4.844044645664387,48.84393063583815
Run2_NTAP_LSTM_ver04.2,NTAP,2,3.083257293692759,1.7559206399187746,1.580355274556942,5.670189440546194,48.554913294797686
Run2_NTAP_LSTM_ver04.2,NTAP,3,2.8320751450615087,1.6828770439522636,1.5163101219492066,5.42958390243964,49.13294797687861
Run2_NVDA_LSTM_ver04.2,NVDA,1,24.95317426955777,4.995315232250891,3.0940500151174697,5.180813412388998,52.601156069364166
Run2_NVDA_LSTM_ver04.2,NVDA,2,72.40766988535458,8.509269644649567,5.939855760367602,10.19215705854331,52.601156069364166
Run2_NVDA_LSTM_ver04.2,NVDA,3,36.53538104514712,6.04445043367444,4.330037891773639,7.743793961961294,52.312138728323696
Run2_PAYX_LSTM_ver04.2,PAYX,1,17.3400848214842,4.164142747491277,3.8395302755252643,6.921480505430367,48.84393063583815
Run2_PAYX_LSTM_ver04.2,PAYX,2,8.986451489888234,2.9977410645164526,2.670728064888215,4.7861185382863205,48.554913294797686
Run2_PAYX_LSTM_ver04.2,PAYX,3,69.19610570894146,8.318419664151445,7.672515900361987,13.81191047309262,48.84393063583815
Run2_QCOM_LSTM_ver04.2,QCOM,1,6.306865400135763,2.5113473276581564,2.20876009090367,3.977348487114381,46.53179190751445
Run2_QCOM_LSTM_ver04.2,QCOM,2,9.855406828420174,3.1393322265125385,2.887167155516048,5.197843289375647,46.82080924855491
Run2_QCOM_LSTM_ver04.2,QCOM,3,7.363571173742731,2.7135900894834375,2.425847109393639,4.373272064403406,46.53179190751445
Run2_RHT_LSTM_ver04.2,RHT,1,16.568379554978907,4.070427441311159,3.8241052799935265,5.047521155230926,45.95375722543353
Run2_RHT_LSTM_ver04.2,RHT,2,22.06270675633346,4.697095566020928,4.453296582749537,5.8706296199558015,45.95375722543353
Run2_RHT_LSTM_ver04.2,RHT,3,18.538447061135066,4.30562969391645,4.059000229202487,5.351636722615068,44.797687861271676
Run2_STX_LSTM_ver04.2,STX,1,2.2844483928038817,1.5114391793267374,1.1575929848640245,3.6640729390446922,51.73410404624278
Run2_STX_LSTM_ver04.2,STX,2,2.7236247855323885,1.6503408089035394,1.3100900182022468,4.14356014335351,50.57803468208093
Run2_STX_LSTM_ver04.2,STX,3,2.513942109195792,1.5855415822979202,1.2296229288851304,3.9053323398828548,50.86705202312138
Run2_SWKS_LSTM_ver04.2,SWKS,1,57.62746605970517,7.591275654309042,6.917957446896667,9.092795561242669,48.554913294797686
Run2_SWKS_LSTM_ver04.2,SWKS,2,17.314108818566105,4.16102256886046,3.544388442211701,4.6545813399412745,50.0
Run2_SWKS_LSTM_ver04.2,SWKS,3,38.142943203661666,6.175997344855458,5.526277908095929,7.258873775984948,48.26589595375722
Run2_SYMC_LSTM_ver04.2,SYMC,1,0.31163982532764367,0.5582471005994063,0.42677309106068845,2.0301751003901756,48.554913294797686
Run2_SYMC_LSTM_ver04.2,SYMC,2,0.33195659619494094,0.5761567462027507,0.4338619713506141,2.0392354744007064,47.687861271676304
Run2_SYMC_LSTM_ver04.2,SYMC,3,0.32531767145004453,0.5703662607921725,0.43447556505071766,2.060938977825491,47.687861271676304
Run2_TDC_LSTM_ver04.2,TDC,1,1.1219290502305679,1.0592115228935945,0.8594648082227544,3.1378987322255756,48.84393063583815
Run2_TDC_LSTM_ver04.2,TDC,2,1.3894812164153276,1.1787625784759743,0.9874474891034172,3.5913151945804875,49.13294797687861
Run2_TDC_LSTM_ver04.2,TDC,3,2.40045743420737,1.5493409677044527,1.3751630991781347,5.022431757528557,49.71098265895954
Run2_TEL_LSTM_ver04.2,TEL,1,1.197032410723529,1.0940897635585158,0.8262114480715532,1.3578400421525483,51.445086705202314
Run2_TEL_LSTM_ver04.2,TEL,2,1.978828858499859,1.406708519381275,1.080612303141847,1.7535858542179008,51.445086705202314
Run2_TEL_LSTM_ver04.2,TEL,3,2.855855307897292,1.689927604336142,1.3886489748582116,2.252542023390491,50.57803468208093
Run2_TSS_LSTM_ver04.2,TSS,1,3.9826799640962127,1.9956652936041686,1.729677271075207,3.446912266374808,47.398843930635834
Run2_TSS_LSTM_ver04.2,TSS,2,30.69916904132658,5.540683084361222,5.294180602547975,10.58214607610233,46.53179190751445
Run2_TSS_LSTM_ver04.2,TSS,3,7.597732382886446,2.7563984441452667,2.487441701265947,4.944466593813181,47.398843930635834
Run2_TXN_LSTM_ver04.2,TXN,1,13.18889301710011,3.631651555022881,3.0290310878028115,4.710123679883573,48.26589595375722
Run2_TXN_LSTM_ver04.2,TXN,2,1.254251911152447,1.1199338869560322,0.8034528191305181,1.3708679903567247,47.97687861271676
Run2_TXN_LSTM_ver04.2,TXN,3,4.7816918721156725,2.186707998822813,1.7756873728082432,2.797402870861793,46.53179190751445
Run2_V_LSTM_ver04.2,V,1,5.187345608938036,2.277574501292556,2.0427903871158004,2.620255087227066,38.4393063583815
Run2_V_LSTM_ver04.2,V,2,116.48039879323585,10.792608525895668,10.569610359760897,13.591263161730216,37.57225433526011
Run2_V_LSTM_ver04.2,V,3,120.2180510619396,10.964399256773698,10.739732342328502,13.810815151337785,41.040462427745666
Run2_VRSN_LSTM_ver04.2,VRSN,1,60.80420131203802,7.797704874643437,7.4400479433014,9.041232963912105,43.93063583815029
Run2_VRSN_LSTM_ver04.2,VRSN,2,56.8029388243123,7.5367724407940235,7.2036035093809385,8.76249426439968,43.641618497109825
Run2_VRSN_LSTM_ver04.2,VRSN,3,53.47854484368218,7.312902627799866,6.987625188352098,8.502573179845301,45.3757225433526
Run2_WDC_LSTM_ver04.2,WDC,1,4.292379555758952,2.0718058682605744,1.5542921544547472,2.814404740849446,53.75722543352601
Run2_WDC_LSTM_ver04.2,WDC,2,4.747470143346659,2.178869005550049,1.6192255099230684,2.898435189597088,52.312138728323696
Run2_WDC_LSTM_ver04.2,WDC,3,4.414286806028995,2.101020420183725,1.6190831777333161,2.961061786042444,53.46820809248555
Run2_WU_LSTM_ver04.2,WU,1,0.39457885725766423,0.6281551219704128,0.5433081024039624,2.752398869596685,46.82080924855491
Run2_WU_LSTM_ver04.2,WU,2,0.41467733832409764,0.6439544536099565,0.5571016923243544,2.8223691027057276,46.53179190751445
Run2_WU_LSTM_ver04.2,WU,3,0.4232710118034466,0.6505928156715586,0.5653368132807955,2.8638342709107723,46.82080924855491
Run2_XLNX_LSTM_ver04.2,XLNX,1,1.0868781513739139,1.0425344845010711,0.7914721586746547,1.6499119013576407,48.554913294797686
Run2_XLNX_LSTM_ver04.2,XLNX,2,1.114477516413334,1.0556881719586206,0.804812973086475,1.6786787789439224,48.554913294797686
Run2_XLNX_LSTM_ver04.2,XLNX,3,0.9339986492098332,0.9664360554169289,0.7247567388836209,1.5315915921713714,48.554913294797686
Run2_XRX_LSTM_ver04.2,XRX,1,0.30038476148671456,0.5480736825343053,0.4984556847149421,5.100441424757166,44.21965317919075
Run2_XRX_LSTM_ver04.2,XRX,2,0.3121436380924105,0.5586981636737413,0.5055937479990354,5.172024394246844,43.93063583815029
Run2_XRX_LSTM_ver04.2,XRX,3,0.3241779316055912,0.5693662543614534,0.5191292956291078,5.30893306289475,44.21965317919075
Run2_YHOO_LSTM_ver04.2,YHOO,1,0.8075196933416579,0.8986209953821788,0.695784884526018,1.9910222365806411,47.97687861271676
Run2_YHOO_LSTM_ver04.2,YHOO,2,0.7491367099895497,0.8655268395547013,0.6666188663517767,1.8882837565586212,48.554913294797686
Run2_YHOO_LSTM_ver04.2,YHOO,3,0.706554369490381,0.8405678851171873,0.6404203104971096,1.7951242067875195,46.24277456647399
